cell id, neuron length (m), surface area (m^2), axial resistance (Ohm), membrane capacitance (F), membrane resistance (Ohm)
SDQR,0.000187178482222,2.27948666e-10,2860117074.52,2.32601907208e-12,2.91096604151e+14
SIADL,0.00146179484352,1.96303870342e-09,18898212372.7,1.98717199731e-11,1.28852754526e+14
SIADR,0.0014629676402,1.77830979412e-09,20998275594.9,1.8635141908e-11,1.34036440329e+14
SIAVL,0.000771275082708,7.51229293956e-10,20554554271.7,7.38490678386e-12,2.43792271509e+14
SIAVR,0.000770749244838,7.48094404902e-10,20273490686.8,7.40437716765e-12,2.64417079232e+14
SIBDL,0.00145582805537,2.06611758048e-09,18569537729.3,1.97894990966e-11,1.47948054248e+14
SIBDR,0.00145661115467,2.07418646131e-09,18469421225.7,1.98301338597e-11,1.47641685041e+14
SIBVL,0.00149996352607,1.63459235531e-09,27609843278.7,1.74556263882e-11,3.1410086789e+14
SIBVR,0.00149950068291,1.65517399649e-09,27767791543.1,1.80347494226e-11,3.19777903946e+14
SMBDL,0.00074921110616,1.06109740801e-09,8800177713.89,1.06947693721e-11,3.30427706249e+14
SMBDR,0.000749765903984,1.09683750562e-09,8354100431.98,1.09892694303e-11,4.78744173511e+14
SMBVL,0.000770576629642,7.92736720544e-10,17510260851.1,7.93678897231e-12,7.94844960247e+14
SMBVR,0.00076957980125,7.82094555616e-10,17960945811.1,7.82352200771e-12,7.50907799376e+14
SMDDL,0.000750237693209,1.05453121354e-09,9026048160.86,1.06466460653e-11,4.22288153188e+14
SMDDR,0.000750854421003,1.04148488809e-09,9117782389.37,1.04713627442e-11,4.27584656407e+14
SMDVL,0.00076958149335,7.71356338221e-10,18074780160.1,7.7748973323e-12,4.59909854382e+14
SMDVR,0.000770472132052,7.8390889217e-10,17994655250.2,7.82254434292e-12,3.21597629852e+14
URADL,0.000134970180147,2.16974850701e-10,1150689318.08,2.22616929568e-12,1.75719984411e+14
URADR,0.000134985035355,2.09686200495e-10,1169827261.29,2.22186250155e-12,1.8044328756e+14
URAVL,0.000144622475141,2.20516032069e-10,1332279771.62,2.30651988496e-12,7.96221438143e+13
URAVR,0.000144615699963,2.22233592543e-10,1258883299.98,2.40588849937e-12,8.24129881599e+13
URBL,0.000148740739468,3.61798510522e-10,710863585.243,3.39201951213e-12,7.31414990306e+13
URBR,0.000148778373596,3.44043860814e-10,746053518.66,3.24916029114e-12,6.51166076674e+13
URXL,0.000162820123727,1.97871707307e-10,2407310398.14,2.04918882303e-12,1.15117923683e+14
URXR,0.000162850493361,1.85848506965e-10,2526599396.02,2.02862384688e-12,1.06452018863e+14
URYDL,0.000142246354676,2.64411145375e-10,870044825.739,2.78621480409e-12,3.5330202445e+14
URYDR,0.000142254330046,2.58388395822e-10,959804357.737,2.64161511806e-12,3.4826885086e+14
URYVL,0.000140057693986,2.04972117884e-10,1548612412.11,2.16076797386e-12,3.22766698715e+14
URYVR,0.000140089703346,1.9169014344e-10,1809297062.77,2.097070718e-12,3.7038001139e+14
VA01,0.000147682155787,3.27783339096e-10,1563564936.64,2.33720359549e-12,7.33058531336e+13
VA01,0.000364292000752,5.99235756476e-10,3119401925.11,6.43047516692e-12,1.84231269356e+13
VA01,0.000157077230511,2.68159756715e-10,1222382895.85,2.84381931886e-12,1.97177526602e+13
VA01,0.000103677865002,1.85378559756e-10,739847209.873,1.84615965186e-12,1.21134350061e+14
VA02,0.000258953163546,4.28492501929e-10,2163604322.04,4.59725106524e-12,2.60542249897e+13
VA03,0.000371136821168,6.7545340815e-10,2776369050.04,7.503683743e-12,2.52706645332e+13
VA04,0.000419332657925,8.01057212013e-10,2885736130.56,9.04509353652e-12,2.08998293308e+13
VA05,0.000427234718323,7.8824038575e-10,2992311546.17,9.22265388578e-12,2.16410613868e+13
VA06,0.000387300691239,6.18809829556e-10,3608375391.81,6.49388934733e-12,3.09304919413e+13
VA07,0.000504407801861,8.07233931313e-10,4184640023.89,9.01500679203e-12,3.54441241793e+13
VA08,0.000489018081443,8.34994473157e-10,3749227597.74,9.64188497845e-12,3.1615175741e+13
VA09,0.000436000870444,7.68609412461e-10,3323027831.93,8.66781894676e-12,3.61045198459e+13
VB01,0.000620728345613,9.17657861725e-10,6705469509.8,9.02517075599e-12,3.01265181312e+14
VB01,0.000376165921844,6.45760070704e-10,2893099711.43,6.89813799586e-12,2.91734849466e+13
VB01,0.000279629413028,4.51882922333e-10,2241924503.51,4.87232269333e-12,2.92984624558e+13
VB02,0.00064783546552,8.88868605746e-10,8352153214.5,8.69700256716e-12,2.74736064091e+14
VB03,0.000626142661428,1.10770526184e-09,4542082303.82,1.33542420367e-11,3.42218365446e+13
VB04,0.000667188484975,1.17105075229e-09,5132555192.91,1.31415965794e-11,3.44273882604e+13
VB05,0.000705568098594,1.12282171698e-09,6086149399.08,1.24568990597e-11,3.33894689829e+13
VB06,0.000670007662326,1.08921683863e-09,5848744895.72,1.17404312198e-11,3.56838934041e+13
VB07,0.000665569539064,1.18051523147e-09,5250287759.67,1.35388195777e-11,3.11415853649e+13
VB08,0.000616397694885,9.3476284046e-10,5756259092.33,9.82073328092e-12,3.03550321913e+13
VB09,0.000494429769404,8.38717326983e-10,3723418092.76,9.50689888312e-12,3.52335533245e+13
VC01,0.00063022955982,9.45993842785e-10,5939018463.57,1.00977517879e-11,3.97960945243e+13
VC02,0.00054111206632,8.18294086032e-10,5106192553.24,8.79703437425e-12,5.04232416943e+13
VC03,0.000940045996105,1.41967498213e-09,9152999488.8,1.49637072732e-11,6.0588859441e+14
VC04,7.04849044201e-05,7.75606171629e-11,1491783746.62,8.0200348054e-13,6.1092975313e+14
VC05,7.09387079381e-05,8.1133526249e-11,1433002955.12,8.05046793187e-13,5.41058160035e+14
VC06,0.000221496451309,3.31279458664e-10,2121563979.9,3.49459238756e-12,2.48985763839e+13
VD01,0.000214850505486,4.00145352784e-10,1491274388.07,3.98578134419e-12,2.92875933032e+14
VD01,0.000236402231835,4.21060688005e-10,2020213340.5,4.08493941421e-12,2.51809809892e+14
VD01,0.000256730140709,4.42343416643e-10,2321155953.04,4.25376947581e-12,1.84541756212e+14
VD01,0.000246714771669,4.07403052017e-10,2328143792.45,3.92500001017e-12,2.41798247314e+14
VD01,0.000163586603836,2.52071261678e-10,1926817522.77,2.43304768626e-12,2.79001197877e+14
VD02,0.000160891273902,2.70632268686e-10,1547587047.27,2.63250550638e-12,2.72904232928e+14
VD03,0.000231436304264,4.0224854343e-10,1934588481.05,3.93572586864e-12,1.82505932021e+14
VD04,0.000256142000904,4.62863899336e-10,2106963833.14,4.47887559315e-12,1.83637261737e+14
VD05,0.000272587498646,4.82597299477e-10,2020632623.66,4.84948950767e-12,2.17831731782e+14
VD06,0.000286090657967,5.05306740303e-10,2491563790.75,4.90881097298e-12,2.47569838766e+14
VD07,0.000303576673275,5.89152044728e-10,2160020592.19,5.98124074397e-12,3.96737271664e+14
VD08,0.000378100367641,7.00841794296e-10,2728077505.12,7.24800287433e-12,2.33539461594e+14
VD09,0.00028726171278,5.21210693231e-10,2170098473.27,5.11637159737e-12,1.6797797513e+14
