cell id, neuron length (m), surface area (m^2), axial resistance (Ohm), membrane capacitance (F), membrane resistance (Ohm)
LUAL,6.35803195001e-05,8.15483298899e-11,1158870187.92,8.02344786906e-13,2.31781418801e+14
LUAR,6.33634208619e-05,7.97491815542e-11,1088320607.79,7.97127524502e-13,3.27161561422e+14
M01,9.71510734264e-05,2.49416007174e-10,411831371.324,2.67685970052e-12,2.82595611449e+14
M02L,5.80341037415e-05,1.48934875406e-10,206889089.414,1.46366126892e-12,1.6728482769e+14
M02R,5.80333430047e-05,1.46729352585e-10,216135109.44,1.43897325217e-12,1.65872762378e+14
M03L,4.98302756409e-05,7.71707388456e-11,563782506.481,8.05350415177e-13,6.14055727002e+14
M03R,4.9855076336e-05,7.94672393401e-11,512314106.943,8.39704804524e-13,6.49248242417e+14
M04,0.0001860584166,3.53864140453e-10,1145578531.2,3.62759614355e-12,2.743437172e+14
M05,0.000124772374818,2.19652551894e-10,925582895.2,2.18960520028e-12,2.94099595657e+14
MCL,7.83421141537e-05,1.41220578417e-10,584055096.688,1.44816985778e-12,2.94930029719e+14
MCR,7.832697078e-05,1.38852454648e-10,632906786.17,1.43408866667e-12,3.0614799688e+14
MI,3.0672918594e-05,7.60108578575e-11,121472374.655,7.49328884944e-13,2.19364405862e+14
NSML,0.000103322828003,1.63852888944e-10,949592847.963,1.6380274817e-12,3.27942907203e+14
NSMR,0.00010330470403,1.42018036846e-10,1251573913.6,1.42054768428e-12,3.69480171753e+14
OLLL,0.000204897881065,3.30798582887e-10,2134892018.66,3.14852422551e-12,2.2725729108e+14
OLLR,0.000204850435299,3.27725748817e-10,2262968184.79,3.10126265218e-12,2.33639349763e+14
OLQDL,0.00017068070109,2.94433845503e-10,1766627551.94,2.75474419749e-12,2.82805437571e+14
OLQDR,0.000170743942086,2.90649348602e-10,1812206362.69,2.7242544804e-12,3.26244279593e+14
OLQVL,0.000153921034173,1.92329694655e-10,2453676029.21,1.8664065069e-12,1.32223740166e+14
OLQVR,0.000153964523571,1.89908146529e-10,2207361247.54,1.97420235942e-12,1.35859744757e+14
PDA,0.000187192492767,3.17495808292e-10,1723617130.29,3.19270078963e-12,2.96605386214e+14
PDB,0.000279271472631,4.74363731073e-10,2497911032.78,4.75222199181e-12,2.8528235427e+14
PDEL,0.000953889771772,1.40809390139e-09,9987072571.26,1.42767476549e-11,1.59156335593e+14
PDER,0.00111052644756,1.6186729273e-09,11483801775.2,1.6626041674e-11,1.56841869675e+14
PHAL,0.000145439966727,1.8087893818e-10,3094126416.54,1.61751175715e-12,1.95473849255e+14
PHAR,0.000145749744299,1.8877676788e-10,2722109774.11,1.69860567194e-12,1.65828345728e+14
PHBL,0.000148310389219,1.86959832577e-10,3158275807.13,1.64838529604e-12,1.86489619288e+14
PHBR,0.000148645839521,1.95985521352e-10,2472503203.69,1.81571962555e-12,1.72244219879e+14
PHCL,0.000164144741595,2.16451893321e-10,2442446028.36,2.17270395348e-12,1.36617066038e+14
PHCR,0.000164230754176,2.20556404219e-10,2128306322.87,2.22971864733e-12,1.33420576334e+14
PLML,0.000835613166985,1.3402770574e-09,7525062423.08,1.37173725224e-11,1.20457743677e+14
PLMR,0.000835518500435,1.44873299287e-09,6267882437.83,1.50466962563e-11,1.20913181931e+14
